[2024-07-05 17:40:25] H5 extends#WebView ----- Class Name = [com/onesignal/inAppMessages/internal/display/impl/OSWebView], extends class.
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeCacheOutcomeTableRevision1To2], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeCacheOutcomeTableRevision1To2], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeCacheOutcomeTableRevision1To2], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeCacheOutcomeTableRevision1To2], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeCacheOutcomeTableRevision1To2], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeCacheOutcomeTableRevision1To2], replace method = [execSQL]
[2024-07-05 17:40:27] Http HttpURLConnection ----- Class Name = [com/google/firebase/messaging/ImageDownload], Method Name = [blockingDownloadBytes], replace method = [openConnection]
[2024-07-05 17:40:27] Bitmap ----- Class Name = [com/google/firebase/messaging/ImageDownload], Method Name = [blockingDownload], replace method = [decodeByteArray]
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/firebase/messaging/SyncTask], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/firebase/messaging/SyncTask], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/firebase/messaging/SyncTask], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/firebase/messaging/SyncTask], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/firebase/messaging/TopicsSyncTask], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/firebase/messaging/TopicsSyncTask], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/firebase/messaging/TopicsSyncTask], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/firebase/messaging/TopicsSyncTask], Method Name = [run], add method.
[2024-07-05 17:40:27] Click Event ----- Class Name = [com/google/android/gms/common/SignInButton], Method Name = [onClick], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zaak], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zaav], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zaav], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zaav], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zaav], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zabm], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zabn], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zabo], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zabt], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zabt], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zabt], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zabt], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zabt], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacb], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacf], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacg], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacj], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacq], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacr], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacy], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacy], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacy], Method Name = [run], add method.
[2024-07-05 17:40:27] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zacy], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zao], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zao], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zao], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zao], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zao], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zav], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/internal/zav], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/api/zad], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/images/zaa], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/images/zaa], Method Name = [run], add method.
[2024-07-05 17:40:28] Bitmap ----- Class Name = [com/google/android/gms/common/images/zaa], Method Name = [run], replace method = [decodeFileDescriptor]
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/images/zab], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/images/zab], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/images/zab], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/images/zab], Method Name = [run], add method.
[2024-07-05 17:40:28] Thread Runnable$run ----- Class Name = [com/google/android/gms/common/images/zac], Method Name = [run], add method.
